lv,bugs,diff,hour
1,35,8.0,8
2,20,3.0,11
3,194,6.0,17
4,96,5.0,22
5,75,5.0,27
6,152,4.0,31
7,53,3.0,34
8,178,3.0,37
9,176,5.0,42
10,75,4.0,46
11,147,5.0,51
12,15,2.0,53
13,39,5.0,58
14,118,7.0,65
15,91,7.0,72
16,73,7.0,79
17,157,3.0,82
18,65,5.0,87
19,24,5.0,92
20,196,4.0,96
21,168,5.0,101
22,160,3.0,104
23,57,3.0,107
24,116,3.0,110
25,111,6.0,116
26,10,2.0,118
27,140,4.0,122
28,107,4.0,126
29,42,2.0,128
30,77,3.0,131
31,102,4.0,135
32,44,3.0,138
33,68,8.0,146
34,139,4.0,150
35,50,7.0,157
36,164,5.0,162
37,182,2.0,164
38,80,3.0,167
39,91,3.0,170
40,44,7.0,177
41,63,7.0,184
42,46,3.0,187
43,96,3.0,190
44,165,3.0,193
45,493,5.0,198
46,4,0.0,198
47,2,1.0,199
48,53,5.0,204
49,43,7.0,211
50,37,4.0,215
51,187,5.0,220
52,53,5.0,225
53,158,7.0,232
54,62,5.0,237
55,54,3.0,240
56,55,6.0,246
57,93,5.0,251
58,45,3.0,254
59,49,3.0,257
60,246,6.0,263
61,24,3.0,266
62,22,3.0,269
63,110,6.0,275
64,23,3.0,278
65,2,0.0,278
66,30,4.0,282
67,218,2.0,284
68,167,12.0,296
69,91,4.0,300
70,116,6.0,306
71,127,5.0,311
72,170,6.0,317
73,64,3.0,320
74,140,5.0,325
75,94,6.0,331
76,45,3.0,334
77,110,5.0,339
78,41,2.0,341
79,144,15.0,356
80,31,6.0,362
81,223,4.0,366
82,124,7.0,373
83,22,2.0,375
84,60,4.0,379
85,96,4.0,383
86,150,4.0,387
87,56,3.0,390
88,68,5.0,395
89,91,4.0,399
90,73,4.0,403
91,37,8.0,411
92,98,11.0,422
93,109,4.0,426
94,28,4.0,430
95,62,6.0,436
96,64,3.0,439
97,69,5.0,444
98,47,6.0,450
99,202,7.0,457
100,36,2.0,459
101,2,0.0,459
102,64,5.0,464
103,23,3.0,467
104,73,4.0,471
105,53,6.0,477
106,135,9.0,486
107,35,5.0,491
108,184,4.0,495
109,41,4.0,499
110,108,7.0,506
111,121,3.0,509
112,70,11.0,520
113,93,3.0,523
114,73,7.0,530
115,56,5.0,535
116,50,2.0,537
117,77,4.0,541
118,42,2.0,543
119,33,4.0,547
120,115,2.0,549
121,64,5.0,554
122,79,4.0,558
123,194,6.0,564
124,70,9.0,573
125,38,2.0,575
126,81,4.0,579
127,6,2.0,581
128,54,2.0,583
129,46,3.0,586
130,52,3.0,589
131,2,2.0,591
132,45,6.0,597
133,56,7.0,604
134,81,11.0,615
135,293,10.0,625
136,26,4.0,629
137,60,2.0,631
138,34,3.0,634
139,70,7.0,641
140,72,9.0,650
141,64,4.0,654
142,59,8.0,662
143,40,4.0,666
144,21,6.0,672
145,46,3.0,675
146,60,2.0,677
147,185,14.0,691
148,69,2.0,693
149,60,4.0,697
150,66,7.0,704
151,118,11.0,715
152,97,8.0,723
153,63,4.0,727
154,155,2.0,729
155,239,8.0,737
156,123,4.0,741
157,205,7.0,748
158,211,4.0,752
159,275,13.0,765
160,37,3.0,768
161,163,10.0,778
162,90,4.0,782
163,73,5.0,787
164,63,3.0,790
165,41,3.0,793
166,72,2.0,795
167,66,6.0,801
168,340,4.0,805
169,47,2.0,807
170,90,7.0,814
171,173,10.0,824
172,234,13.0,837
173,127,12.0,849
