Fix time interval of version 4.x,,,,,,,,,,,,,,,,,,,,,
,v4.0..v4.0.9,v4.1..v4.1.52,v4.2..v4.2.8,v4.3..v4.3.6,v4.4..v4.4.216,v4.5..v4.5.7,v4.6..v4.6.7,v4.7..v4.7.9,v4.8..v4.8.17,v4.9..v4.9.216,v4.10..v4.10.17,v4.11..v4.11.12,v4.12..v4.12.14,v4.13..v4.13.16,v4.14..v4.14.173,v4.15..v4.15.18,v4.16..v4.16.18,v4.17..v4.17.19,v4.18..v4.18.20,v4.19..v4.19.109,v4.20..v4.20.17
0,12648953,420645537,0,174150,11573121,11573121,24731416,11633824,13722735,44376718,1305737,4146,4146,17041507,48946036,18225761,24284853,13090,6754174,97275179,9498731
1,836494,5912991,122012,243877,3129782,3129782,921499,1167010,1298599,4569318,5936619,6809266,2743633,3496200,10889599,12126622,969226,72746,3453488,1406711,2534237
2,1109027,0,79883,173228,64500,335823,921349,1293237,353143,286828,2981896,1900799,10802583,17190223,16335168,426431,1112889,1301783,262314,1757827,737675
3,1114752,122012,4620862,1039304,271323,3490666,70897,76158,1053729,5343257,750032,423768,1,189733,13090,643577,47185,23316941,4228097,3789448,90435
4,725422,79883,1373991,759452,1192290,1348356,78856,92802,1113634,1305737,270814,795464,1,95289,72746,2751,12324,1,509545,7637510,1497537
5,1361,888867,432121,10615,186818,94139,451657,536732,291022,2295855,852900,111435,0,94584,701399,3314853,181828,1,476849,1965772,228852
6,161843,189070,234208,198812,256780,262903,149155,592844,57319,1657922,1554122,13764,1,356860,325564,944647,1547920,166972,41,1224308,1288837
7,1,419056,266992,95837,766325,344712,1,1,2705,526751,1,324397,1,1,274820,198578,381480,3756865,36239,351859,1
8,1,501448,101225,211363,201775,1123492,146354,478538,304563,178981,1,83416,17601,142535,502974,309185,1,2340346,622953,272761,105722
9,1,443766,1,0,0,170001,249634,220897,543295,1277110,1,184,1296902,617857,6125897,1,7338,398650,3203,998504,3
10,238739,7679,1,130019,67301,25038,20675,504686,10711,698276,1,3650,856286,161560,1,201493,307858,80165,20035,544896,1453
11,95141,330506,1,167726,11591,53282,349183,27935,78795,253350,1,60,81921,282752,652728,1937610,6095,181714,70230,60500,347224
12,93060,99788,1,93110,664,417868,69227,8425,353758,170438,110621,43285,6979,169013,3982304,382732,1519,1552175,148093,8204,81958
13,59256,14523,169682,160071,85194,184154,2665,68363,536300,526355,0,9369,3498,302068,259884,608990,842,766,131463,249895,516365
14,20149,171558,59060,22731,412858,4262,282008,9629,37,303020,69789,362215,578589,1,220547,94092,1,186784,1553,259278,157668
15,750455,16436,26136,431947,14393,1,79293,498614,8254,205493,491632,147962,390096,1,789411,10,1128,737322,420173,215719,179060
16,210356,322817,1970,325501,168821,12014,17290,80964,337754,15056,188128,6809,384393,1,241838,0,88038,283508,214346,394365,272422
17,2989,110151,413837,179510,6450,78840,89562,170735,227861,159133,344071,94029,59316,28389,280443,27020,2949,768975,15687,10194,104142
18,2,121175,456635,79597,555,323599,1,169127,13242,406441,273090,1,307607,86364,84050,34916,1869,618969,94691,7681,47001
19,77764,46924,14072,333984,118851,494,489417,62447,78171,1,341318,1,121100,94677,7621,118755,14595,1,3227,60928,172204
20,81781,217831,91908,393,132798,35621,445555,115413,1,1,174675,1,37643,618300,551906,180621,4659,1,71227,96040,254154
21,77402,16960,0,191535,97351,60708,1,5091,2,22689,148109,1,10106,675168,2751,143472,71651,1791,1805,79127,20615
22,1,10826,34826,7608,88376,23267,73828,155411,7362,140553,429,3565,76291,0,541052,8669,49299,280827,39221,511684,159573
23,1888,42978,63771,29962,1758,8719,245360,20596,107273,81090,372190,91405,289784,1,38135,14499,24363,169914,57676,642226,13626
24,27930,114898,486452,40189,110307,59710,10525,235722,37549,396464,68052,3048,142273,0,159501,8842,41549,65550,7620,64836,3073
25,1244,70808,143020,93470,1,19622,171484,111049,39937,353568,9746,193925,1688,1,1115193,64190,249584,155748,84627,512717,9289
26,78932,339975,11323,80334,53744,7380,98936,93909,54364,8061,65256,0,2160,0,27649,81462,218581,123664,0,6606,77564
27,3440,19728,1155,15089,251760,68137,80515,68553,0,231199,345878,147915,2,1,237193,6499,268145,308338,0,414,333868
28,378644,11016,11845,49922,100563,233821,742,4629,1,31554,108401,65797,15384,0,233937,5948,25470,13739,0,148142,71833
29,24716,6048,93053,86776,169737,17857,80003,6570,268103,1,5358,121798,1,1,102872,8398,40442,1,0,648506,104811
30,37811,66797,188022,176751,92184,3791,10579,17111,3098,89112,235009,67853,67206,0,81749,14303,11914,1,0,100765,10512
31,219219,5129,0,84042,152616,8458,113367,65524,0,1,295269,12863,102121,1,115518,43750,4854,1,7556,62804,85400
32,184602,1,0,1084,78959,59052,83833,201,648,1,64301,67205,3488,0,141228,272233,149566,1,53734,182320,1022
33,11394,22382,149765,39846,18202,3513,86024,276020,85740,1,9141,163667,244324,1,91157,3004,27519,74214,116417,43276,64512
34,85367,132064,1891,77062,5533,7829,145990,37510,3559,1,106748,1,7463,0,155904,41562,34040,20288,10950,138450,42647
35,80198,8069,0,15578,2519,10393,95709,8344,6225,1,71634,1,1261,1,38279,22682,31657,175590,55785,0,5571
36,99080,8710,63091,70433,28,23491,63252,15446,3585,1,506371,13822,140527,0,0,14341,63889,224799,1478,877,70347
37,8076,1,8584,43472,37,0,91180,22984,9568,1,567,325,37289,1,49130,4,40127,18174,1,173842,0
38,84849,6167,3931,33352,86022,55247,1,99266,8027,50827,1,67675,4857,0,17555,74579,17707,16966,8987,1,17506
39,318315,60785,14551,6645,175008,1544,4857,29638,31425,67029,359132,60627,73225,2,10937,570,335709,0,19252,213686,65058
40,71,2082,146306,58318,2905,7521,14398,23987,23096,24297,60881,142330,3633,0,77498,1376,143742,60497,15034,127200,11
41,89559,8740,7706,1,0,19930,3218,59484,17252,1334,120391,71272,6434,1,80366,0,56655,15131,4279,529093,18
42,20064,158518,277377,256017,84990,7881,56414,30077,1,1432,252702,14470,1,0,6454,1795,10180,64865,31248,39122,82231
43,22548,101084,166954,3389,257103,119188,1,81879,1,505,55583,151596,165724,66112,33498,14153,17575,3517,18505,9530,33929
44,54158,32834,16420,24079,33747,21796,43209,3958,0,927,1,0,350825,1,132524,70968,27544,25902,113,81601,33154
45,25518,47264,72048,1635,52831,20722,227383,4308,0,77,34206,2,7801,0,77975,49490,193559,102462,1,33651,72863
46,2662,550,1,8395,1031,6651,34954,183945,0,34048,143187,117068,5,1,0,44752,38088,42157,1201,60473,0
47,60188,10297,2058,53085,84400,1,79476,44723,0,25748,12936,56208,66466,0,1,709,16206,27789,1011,5051,0
48,1,1323,81432,4279,412518,1,49142,92417,1,157808,4718,6792,92095,1,3749,744,14113,307716,1,236989,14945
49,375416,94579,59210,9684,353527,65495,1,3509,0,144063,154658,1,75443,1,13716,33903,10552,36740,2742,351916,83477
50,56878,0,264178,5191,15972,163980,2621,7977,1,28204,1,12597,0,0,251391,128909,44115,4869,17015,8385,208641
51,75746,61099,85426,25036,202581,4032,96649,113288,1,40493,13181,44814,256,1,246421,22876,1,61451,53975,23182,3504
52,7962,5586,8604,53585,54494,20895,21427,132958,1,14686,0,102765,261779,1,105261,52512,1,36640,9718,15966,1
53,108338,209349,1281,3484,137,48655,131166,4345,1,27530,1,8361,0,0,0,2680,1,47251,74711,238539,37196
54,59928,85197,3619,21366,61639,96536,181589,126092,0,158269,1,127005,22087,1,46889,131929,1,8894,16299,9703,4843
55,106480,62763,40432,10158,5194,68389,37760,1,1,10676,1398,68281,16999,84003,175928,59933,5985,4778,60260,11384,2805
56,23733,78791,61403,1714,1,18574,9013,1,1,0,0,180078,141101,195584,49418,23054,101902,0,22170,4414,118768
57,46679,16044,2,50345,1,65572,53135,48912,73897,58255,20896,54698,1,32467,16578,229,21501,2165,102005,41430,164266
58,10742,16348,1,11893,1,0,5049,744,5784,83748,58418,1,71828,65342,52833,3804,57792,75222,63107,9447,37441
59,65444,133579,72117,5205,2,44627,1054,97024,17760,182497,3667,0,1,57045,8233,61220,22179,0,75367,2867,37265
60,1844,88221,1957,110,1,66714,9483,72095,61380,3217,0,5993,51509,37838,140583,12405,58760,787,3160,58382,11505
61,1239,14839,8132,165,75041,109701,68069,2585,258869,929,2,42591,71,65662,90958,15903,12569,184073,1,21059,14671
62,15675,240502,85427,0,49529,73848,8306,5556,3357,14156,1,20309,75,58524,1,175794,27885,151235,13918,1,217194
63,0,19199,155306,18154,43253,13637,64027,86283,8541,71972,1,28454,55,13210,6269,146004,216085,15028,9596,85724,0
64,615,4502,6244,59823,2605,143059,1,182,1,63565,1,5400,264,6181,80117,57982,11373,17058,66368,11428,16044
65,7860,73483,660,32,12350,11628,2,8,1,19713,2,8954,79,81670,7264,10376,13827,7167,16784,6606,20748
66,2207,5546,77736,53,6327,63234,516,20048,1,80484,4,1,0,162226,212,6615,20219,38805,1,315670,74211
67,6746,8619,22984,71,61061,131155,81278,3494,1,6394,1,0,0,363766,1204,18505,59229,55,1,96467,53003
68,26581,1099,15945,3041,3258,4816,21175,49875,1,2,1,12082,0,2780,5138,53965,76135,15112,1,19645,29275
69,55092,3416,5509,142148,7141,39723,190065,5687,52534,2310,1,1,0,413101,13617,5183,83739,3065,573,5400,6696
70,11277,1,45956,114297,205774,39028,6,0,48858,63191,1378,46859,70,118089,0,3,6172,21582,898,54635,6303
71,38211,1,1287,4435,3734,128402,161379,10404,64030,1279,79307,23470,57982,64310,0,18705,3879,18118,13150,4500,2505
72,0,1,16547,7744,35265,26306,70175,18682,0,94072,6403,1659,266655,250234,6,3816,3320,13674,42723,3814,46726
73,13431,1,69319,0,16545,15449,15134,76997,62576,37127,5530,20649,61923,6173,9815,0,7130,71599,3737,5714,6516
74,77,1,8041,53144,1,64523,16423,142185,6502,3303,0,47821,72471,92717,77851,63728,53277,0,3905,0,21532
75,16357,1,1583,20224,77329,612,48935,4574,22655,31071,21419,30187,53955,0,74292,12266,3127,0,10440,80907,8675
76,5247,1,13554,56439,5522,2461,756,19230,77057,29581,247841,68305,37834,6429,5978,24062,9777,0,2540,46238,14545
77,5464,1,2,13632,2540,65575,8867,1,89074,75316,71784,82764,2739,67916,17175,636,6832,1,7145,28897,29087
78,104763,9455,52531,2,8590,13780,5493,68001,163476,75956,482,62534,25250,398,72214,243,1,44079,3839,2017,10137
79,218125,14882,25882,9010,236,161813,11404,0,82029,1014,2789,1,9872,9972,68037,34429,1,8262,71612,9033,8690
80,7280,61485,2163,1,807,76128,14806,0,20172,17135,5,24622,52815,1,30597,22455,1,2531,17944,92916,17593
81,1,86185,152441,1,9076,48908,40598,2480,52481,1,2,18272,14830,1,23509,5752,2,6704,76648,149120,59965
82,1,5116,40206,187,48044,129156,11256,0,0,2,61685,1,166418,5,0,169368,1,272144,121150,6351,29082
83,86240,51457,66441,4309,16515,4995,9100,39831,2681,80772,1,1,7537,4,51592,89197,2,45729,39096,1,1176
84,6136,2204,64780,28164,10475,63158,2339,28637,21802,93116,1,47783,1,10738,66350,1,13069,8172,3236,2,10655
85,3015,13632,7896,2,4204,17447,7370,33885,78273,10394,2,20507,6781,59924,29,1,69961,528,42458,1,47289
86,53909,23,104334,0,26635,1,10719,72788,441,64548,1,29170,7147,3348,7,1,12054,92216,35187,1,25086
87,18255,16,12712,2,31658,1,7524,1570,0,18184,1,57984,2741,0,8835,1,20304,74738,4279,1,65676
88,1,6985,40939,574,19852,1,0,2521,197991,246586,17016,71393,54156,0,137644,1,0,16577,7386,0,23813
89,7512,51316,16227,43865,5948,1,76232,1943,1,59,2,3004,11715,93501,0,1,144207,5693,3403,1,0
90,75802,30636,18201,4844,399,1,155186,5731,1,1,86977,15165,5506,2297,25463,1,2166,5772,16274,7241,2015
91,71030,134007,59346,9319,1942,1092,7918,67386,67710,1,16518,89635,84908,10141,1170,1,8326,531,9,2427,4902
92,14534,30377,18130,13980,7988,2177,84344,3778,24814,1,1,147754,795,141979,1496,1,0,5457,3450,0,23115
93,5243,13030,6648,3,11957,104745,217,2389,55283,1,56572,89888,0,107105,2872,1,69273,60234,60761,8167,55666
94,4071,2689,100683,309625,2381,6761,2650,16385,176504,1,6251,459,28828,11377,0,2,13848,8474,11039,2233,55606
95,3608,11015,163772,4614,9294,61377,4581,73306,22424,171,21964,1,33304,1123,82725,1,8659,4,1,1148,3152
96,59415,9078,1,1526,37051,76714,7182,257263,4991,0,105703,109998,30693,66793,1,2,58745,5432,7395,3457,153
97,191113,32342,75596,7052,1749,4362,59810,7408,0,6012,48448,4352,1,62366,2,1,14498,13205,3187,17562,7358
98,75758,22426,21614,11410,10974,24060,100309,256,49560,1,77016,53191,1,23951,2729,1,67505,5407,49734,32508,8981
99,138036,10645,39925,10572,5398,6056,489,3350,257,0,3626,82868,36467,2542,0,1,4338,109828,1,11722,899
100,38257,1,8388,59323,2810,245970,71192,1,12319,2493,1553,106160,3,8115,7169,1,1,118153,1,5142,4964
101,73199,1,5017,12008,7791,15996,13048,29488,3801,9323,55183,1609,19302,0,8195,1,5223,938,13385,1,79958
102,28147,1,77056,39022,6179,28540,24,44707,70250,177,43962,6422,1220,0,9003,3872,3934,2063,15815,1506,1800
103,0,1,104484,31654,139134,25922,1426,12414,1424,0,74993,2743,5182,4629,245,72459,1,12988,4570,5424,8203
104,8086,20773,6532,6678,83953,4123,66467,3951,4317,7850,6571,60066,13640,58828,72439,14633,1,69992,612,3678,11938
105,180387,0,20951,14406,1784,23284,21462,2,10797,26314,4550,33293,7735,5542,160506,5792,8322,29591,11515,4293,53552
106,0,0,143202,2301,22538,17568,106081,14307,15039,16276,5105,140615,2472,41058,77503,25543,65533,60306,55308,985,32274
107,83,53895,70434,13493,11374,44107,46174,59847,10087,16088,5466,35884,413,49105,4876,41283,15191,9959,714,3632,58582
108,86541,7480,19336,0,3304,9182,0,2011,10065,13399,12988,179,137,0,7524,7717,4233,9657,3402,19138,79619
109,68884,6789,1,67271,1,25567,75821,219,157063,12517,3143,278,5083,5,0,27742,1416,17089,15358,82033,8225
110,12374,7733,65092,1,44767,71936,1537,119,100351,0,1334,80043,12812,0,25468,47563,1829,0,1706,39808,51774
111,81727,47638,3137,65495,494,67346,1,2328,48433,21008,838,7270,5769,2276,65115,4596,1108,62411,0,1,27871
112,85821,5580,85678,8161,35621,23099,22733,10013,6060,25515,46858,5027,44923,859,15714,7888,232316,1,69576,13999,8644
113,1,10940,199,6119,4854,25611,7761,74132,13242,22937,7560,43396,16657,13213,42276,1289,14111,13048,2486,13946,107
114,1,8854,27664,7373,55854,42178,1,1750,82624,329,5695,15822,6777,7206,10979,626,9840,1,20420,0,10425
115,1,59499,71147,8,103,10400,7789,2615,58223,61371,4136,11051,74622,20,18333,7874,91252,0,0,2040,2371
116,44251,25697,74417,8926,11489,44293,9225,2731,2503,3589,31153,75220,99863,112774,1,48080,64681,1,130061,1526,1465
117,41983,1970,1216,13276,884,11,93,4513,7330,856,31656,70103,1,64070,6296,45574,527,1,28061,3002,13975
118,1677,18402,2631,77936,0,6,40730,5883,1,4,9967,21399,765,55544,5718,69901,24,3966,13567,62735,6168
119,18136,21290,6755,19355,5822,12,6062,1614,70219,2,12984,28994,57500,793,18612,9116,8048,43228,13467,0,2331
120,210363,67,199823,218943,4969,33713,0,732,10527,0,231789,38278,10411,7565,44457,98855,15006,6982,36818,3729,3439
121,7468,152339,48815,154140,8719,76019,17838,15383,3189,1,1,11283,1,1,5125,43498,155154,4845,1942,12514,45195
122,16960,49711,26795,12081,642,4302,28480,26661,4180,1,22341,89059,11727,10881,15431,1,8155,12169,14143,60679,5340
123,10826,7945,3054,33330,36255,3426,33344,496,82334,17419,20860,13899,64177,48269,1,13726,36,667,344,120405,19358
124,12112,17155,51903,59732,22813,17100,10778,27,149010,22317,64702,56208,1,14681,26986,86078,669,5371,27,35292,138041
125,30866,50096,30696,1420,2512,10573,9988,53,15501,16012,1,2439,4232,3015,35997,6668,818,78120,1130,26420,791
126,19457,12103,52307,66544,1172,21632,6076,20368,3703,23892,5950,2075,13047,4781,12823,77575,933,8964,4643,2,1611
127,39267,338,4623,187852,4556,26838,62742,5872,9627,1319,0,2611,11144,7485,3937,8112,15029,1,880,2,1220
128,50476,14843,686,43912,11382,5253,13107,746,3750,3321,1,1881,9883,5865,1,2046,35435,4,1,1,7325
129,12370,2,8218,62328,7380,6495,428,163,889,1022,1,336,1877,102,1,53,41691,72615,8304,1,2822
130,58732,63756,5741,0,13594,9906,919,394,69489,11393,46127,11234,37846,6066,206858,12474,360,22348,56504,31254,4440
131,5853,12137,2174,0,36241,15703,4760,2574,9,9147,0,11625,5155,6568,30694,7926,18707,59095,7561,1002,5885
132,10713,13361,35537,93799,11532,6030,111205,8515,21170,275,31813,12590,6143,56933,0,62830,127387,19578,345,23818,62470
133,0,109,76163,46107,3196,20022,0,33362,4573,3979,15216,56049,0,14936,1,60,32115,3881,19462,34672,0
134,92810,1887,49462,26650,3574,2153,150349,33022,77975,1,7026,9715,1373,1026,12557,85993,6552,51322,53176,6292,1
135,181,8308,15584,1938,6063,11,23177,168738,90555,76600,1381,762,8366,1153,13477,8017,2,5657,9824,9146,2516
136,2873,17193,3,73933,73171,34605,30981,4050,990,6109,0,527,16902,26824,1345,5,63407,5929,1,1641,206183
137,2,18743,0,1265,35240,12784,5206,16666,3018,119209,644,68535,3993,38484,48363,171,888,9214,5176,6887,1
138,1,10875,77088,3535,31525,9356,8039,1,64064,39572,0,996,3598,4272,23048,85957,980,1396,82,925,40657
139,1,1081,9609,4507,16305,3308,1468,2,3536,4846,1,77,40267,1983,14912,41364,379,1494,275,45418,20214
140,21278,8566,153325,241158,71517,1111,37762,61268,15292,53,0,24194,0,10496,2074,132003,3458,2509,1142,9598,2751
141,4303,2,14520,89354,9690,17495,13132,36,82462,111,56784,6152,5135,3437,55941,1174,11396,1883,51,111,0
142,77129,1,5259,92997,2052,33582,52886,2216,39,1319,0,1,19079,614,0,62301,6973,12585,116,1177,9669
143,130235,12681,61413,1,6115,791,163762,27,15,13132,14693,1,426,4775,40342,19990,84206,45311,3558,3282,2473
144,40066,39,7011,20931,3791,537,110127,8035,88,778,381,14543,222,4112,46855,62563,24403,1,7782,4171,957
145,8254,24,5238,148193,3483,25329,0,1822,326,3024,86715,3293,304,206,11089,4716,1483,8624,3200,12952,3030
146,59534,7172,27979,2065,458,1,152179,4133,158488,2270,2792,32760,488,4492,0,886,16581,1079,2835,81272,9494
147,0,300,24640,3,4517,5493,0,9992,3364,1,61814,297,3114,55429,2750,24411,18811,1739,11340,1615,10749
148,1934,5333,45711,11,8670,5288,1729,5340,36159,48687,101344,4420,7569,4142,96312,1,524,14368,7752,1,43111
149,20150,222,160,268516,27795,47768,11551,147629,41047,731,26018,6,164,4166,17080,64973,854,51406,1,191,8696
150,36242,46394,4217,5271,26025,1386,2761,152,14683,31641,47039,41,0,8854,2363,1804,15,13161,1156,4036,13056
151,32570,24387,16962,57542,3322,977,69557,6462,16724,11690,13972,141,24852,2186,15703,20959,33473,15794,9795,1121,5860
152,0,3848,51816,20948,56,2599,10879,38,10145,45425,9427,3834,1,1465,35291,3990,55874,5354,53871,1,0
153,58836,83786,9474,19464,5999,509,159,2362,37512,19758,19931,3169,1,3,200122,13963,25633,2097,64828,1,57663
154,22357,185976,7912,309,8920,180,12,2327,9753,723,42958,3393,1,10,60968,40609,51119,1321,1160,2494,6852
155,47486,12754,2582,7039,23491,2735,4571,88464,1,1371,2670,6519,29746,149,5579,3,9132,80735,3,11062,4575
156,26447,1318,9271,52406,0,5555,51514,8271,6287,2394,1,368,11269,0,3170,2,67875,16201,2,61932,2124
157,3383,54113,54500,1232,4266,12398,1712,4680,9740,488,7382,3559,3778,5581,8829,8803,84499,1882,1,32208,15053
158,8853,4886,4926,807,24559,63692,1108,21637,2964,16521,3529,3588,10011,13156,150108,486,8700,5,13849,132560,679
159,72240,6203,14870,9557,13607,165254,9566,4321,65352,517,4947,24560,0,0,21620,3,4882,2572,2706,33719,43333
160,77885,1,6946,5240,0,2962,15928,28666,11231,18923,13607,32326,2840,216855,3808,10104,4541,48434,24246,51194,12479
161,124134,1,171295,158927,619,17713,224,187048,1,37946,13244,14989,12280,194,731,1856,72274,33578,0,328,12131
162,57048,26704,59180,3435,3621,1606,58346,2808,1,70027,7456,880,36476,2,67352,111439,28175,135174,24559,8311,459
163,15846,0,5872,7021,4381,2,8240,9181,13526,16836,28908,24619,1710,3570,85244,58373,0,25325,25599,29465,1104
164,4889,34826,20714,8818,4194,668,19824,2,1,391,732,45214,56352,19218,59268,45086,82897,6669,48365,2457,13447
165,39110,16959,57284,227550,1543,1,39793,7672,2169,3515,1785,73093,119744,1485,27585,127864,13510,168,41424,1710,3280
166,46904,8244,4708,7140,1,1058,22960,7758,2,324,1363,117167,1,822,4691,8841,1102,15765,35575,39363,65536
167,0,24135,416,77339,1481,4631,5228,45005,1,25148,1540,3627,5121,3599,12348,1,46136,50182,37662,2,5018
168,40743,14433,3951,109693,1542,15162,15923,0,45794,45257,1,61700,950,15144,65555,721,2731,750,13625,1,7069
169,20356,127929,8061,412518,233,51098,184462,1786,14625,85364,6466,9625,2046,39273,1867,10864,3205,9770,9429,2,90429
170,1082,159721,1178,98815,4265,0,23444,7678,25653,33584,4391,7899,10687,3606,21,2,16327,10276,11691,3370,1
171,1,12333,1913,584246,3069,12275,31385,4937,111076,63625,6039,1,390,1435,1441,0,849,52312,53506,12792,1
172,16028,80457,10427,10483,2955,3,7182,4,59432,82523,8,784,2462,12749,2,64001,8095,4280,1,5450,207
173,2223,6348,8504,1,13906,20972,1758,1,17007,0,8,1225,4272,4962,3748,463,1415,10945,24219,62119,98522
174,7745,4569,5595,1,63885,70781,160640,3709,42658,0,8,19845,3747,6468,3608,1,5194,12415,7955,8735,3272
175,53854,4926,995,1,63184,6782,3031,174,0,0,4348,36277,61634,20699,1774,1,24525,2934,2,3553,1
176,17764,1463,10390,2,2119,16588,168,1616,21853,0,2430,0,20868,5909,936,1,17053,9234,57169,12125,1
177,510454,23403,47521,1,2112,42895,7526,221,56977,20277,3586,16455,508,31694,3957,68330,6649,15859,4932,66643,38358
178,6646,30381,176,15402,13922,4196,77421,2335,1,4296,4239,7822,1,502,20745,25110,1912,635,1946,2190,372
179,113534,3997,13864,28541,3643,8414,17507,55235,4684,55713,46808,5253,1754,2075,1,5241,15584,40059,1493,570,5472
180,35479,21895,18165,0,92870,11176,390,15489,8909,9761,7680,202,314,5053,0,93311,1681,0,2268,18740,2387
181,210110,611,50023,44630,81828,73587,3595,27075,26513,1031,83318,56,20001,16151,4669,94391,5728,655,4268,4938,10452
182,61987,59737,4400,81855,0,121,67256,74255,32711,9009,3400,3,270,2535,43233,140723,24679,998,63605,16460,18124
183,25661,24906,4280,12350,57460,2068,5723,1570,35003,25199,5906,4411,44703,3866,11335,24445,207440,441,1766,2171,11875
184,28860,32625,62844,67388,24692,1,6803,5968,1,10067,657,1,1992,7094,8056,1,772,2671,11667,3461,30241
185,56669,34125,15125,216173,4032,1745,1430,3691,9397,29768,59,0,8,14292,3058,56651,7627,82,3391,31405,2662
186,23407,1,13467,38999,20895,72580,2898,15548,54766,13232,2,1,22224,43994,15256,505,12471,13065,0,11392,2590
187,72710,45,6674,99397,36331,2665,2263,37121,3717,18367,73815,1,457,8323,1,3600,16404,1983,75518,789,7024
188,51457,4532,52274,2540,9437,88690,65560,594,28998,10712,95075,1689,1009,11368,1,0,14921,2,7,2788,1041
189,34203,19791,90133,8590,2887,77689,7351,5501,2770,48129,31890,1,682,253,66937,13152,3801,532,6746,116709,1
190,283,7849,20508,1043,44,4213,38929,7458,62274,97863,58347,1,1,2099,5307,54799,29983,2151,1929,1,5919
191,234490,1651,66867,9076,7042,79603,127081,29360,2833,0,10604,1,71381,22005,0,12235,17038,1406,4824,128639,22746
192,13250,12742,12022,48044,49,2710,0,11322,1085,88144,0,331,4720,43142,27020,0,1569,3087,8710,29622,5
193,13704,167826,4750,26990,8234,17529,1562,162266,6075,340,62438,3349,73632,280,34916,8673,22315,4617,1410,4647,15108
194,41420,13669,12829,88696,3799,11574,8146,57225,12560,1,4310,1,1245,111,726,12344,166,17654,1971,50542,44240
195,22426,77338,3687,99335,34,21689,4109,73857,175550,1,7723,25324,10670,9340,145,7240,50266,30915,642,1808,7944
196,31422,0,4899,145313,3429,0,93483,14153,23050,73326,11516,37027,10783,7804,6007,46053,752,0,2047,2501,6998
197,0,0,50157,108275,5771,1643,6811,3,38911,7964,15627,23639,1,76479,75,29779,0,0,11397,45045,844
198,0,27986,12018,14678,23991,55961,92240,6,192,7562,50122,8543,1,48087,0,5217,4938,7520,65465,53791,2953
199,61375,6616,7317,1,40977,1651,5124,7747,109,1123,1,4874,1,38548,0,1843,10731,202,21307,17692,2
200,62160,12108,163,85736,3166,105201,44981,60480,7615,61552,3268,8060,1,7,0,11297,1246,11927,63800,0,7014
201,5580,2504,15388,486200,838,1,16844,7650,17383,5308,5523,26798,15488,69679,0,1,1,4501,1,1,1422
202,423965,12846,41838,128960,67551,59373,77392,9403,11213,57,7137,16985,7405,1747,2984,64261,1,3656,68363,0,51199
203,12103,30780,18161,42406,18574,93169,8005,15192,18226,673,1,1065,163745,1,1133,2361,7133,2737,4276,1,6136
